set_id,statement_id,participant_id,cb_version,repetition_times,truth_score,age,gender,edu_level,ethnicity
5,SET5_S03,P01,8,0,6,19,male,some_college,
7,SET7_S06,P01,8,0,5,19,male,some_college,
5,SET5_S04,P01,8,0,3,19,male,some_college,
5,SET5_S07,P01,8,0,3,19,male,some_college,
6,SET6_S07,P01,8,0,4,19,male,some_college,
2,SET2_S06,P01,8,18,4,19,male,some_college,
5,SET5_S08,P01,8,0,4,19,male,some_college,
6,SET6_S03,P01,8,0,4,19,male,some_college,
2,SET2_S05,P01,8,18,6,19,male,some_college,
5,SET5_S05,P01,8,0,3,19,male,some_college,
6,SET6_S08,P01,8,0,3,19,male,some_college,
5,SET5_S06,P01,8,0,4,19,male,some_college,
8,SET8_S03,P01,8,1,6,19,male,some_college,
4,SET4_S05,P01,8,0,4,19,male,some_college,
4,SET4_S06,P01,8,0,3,19,male,some_college,
3,SET3_S06,P01,8,27,6,19,male,some_college,
7,SET7_S07,P01,8,0,4,19,male,some_college,
1,SET1_S01,P01,8,9,4,19,male,some_college,
2,SET2_S08,P01,8,18,4,19,male,some_college,
8,SET8_S01,P01,8,1,5,19,male,some_college,
4,SET4_S02,P01,8,0,4,19,male,some_college,
6,SET6_S06,P01,8,0,1,19,male,some_college,
2,SET2_S07,P01,8,18,5,19,male,some_college,
7,SET7_S04,P01,8,0,4,19,male,some_college,
8,SET8_S04,P01,8,1,4,19,male,some_college,
4,SET4_S03,P01,8,0,4,19,male,some_college,
7,SET7_S03,P01,8,0,5,19,male,some_college,
7,SET7_S02,P01,8,0,4,19,male,some_college,
1,SET1_S04,P01,8,9,4,19,male,some_college,
3,SET3_S03,P01,8,27,4,19,male,some_college,
3,SET3_S01,P01,8,27,5,19,male,some_college,
4,SET4_S08,P01,8,0,4,19,male,some_college,
8,SET8_S07,P01,8,1,4,19,male,some_college,
4,SET4_S07,P01,8,0,4,19,male,some_college,
5,SET5_S01,P01,8,0,4,19,male,some_college,
8,SET8_S05,P01,8,1,4,19,male,some_college,
4,SET4_S04,P01,8,0,5,19,male,some_college,
1,SET1_S03,P01,8,9,4,19,male,some_college,
2,SET2_S02,P01,8,18,5,19,male,some_college,
1,SET1_S06,P01,8,9,5,19,male,some_college,
8,SET8_S02,P01,8,1,5,19,male,some_college,
4,SET4_S01,P01,8,0,3,19,male,some_college,
2,SET2_S03,P01,8,18,5,19,male,some_college,
6,SET6_S02,P01,8,0,5,19,male,some_college,
1,SET1_S05,P01,8,9,3,19,male,some_college,
